First Name,Last Name,Date of Birth (Y-m-d),State,Sex,Height (cm),Weight (KG)
Norbert,Beahan,17/12/1986,NewJersey,male,178,121
Stefanie,Abshire,24/12/1976,Arizona,male,176,158
Judson,Satterfield,12/05/1990,California,male,164,109
Lyda,Hane,05/01/1983,Idaho,male,183,102
Maybell,Schimmel,21/12/1968,NewYork,female,156,74
Frida,Berge,27/05/1969,NewHampshire,female,179,139
Eve,West,24/04/1986,Hawaii,male,164,158
Estel,Ernser,31/08/1978,RhodeIsland,male,162,128
Leopoldo,Williamson,05/05/1989,Maryland,male,157,119
Geo,McDermott,17/11/1992,NorthCarolina,female,152,82
Arnoldo,Haley,27/10/1977,Connecticut,male,170,143
Mozelle,Gutkowski,15/09/1966,NewHampshire,male,190,89
Gunner,Schiller,02/08/1974,NorthCarolina,female,199,120
Lura,Thiel,01/01/1990,Utah,male,162,82
Harry,Langosh,02/05/1982,Virginia,male,179,96
Willow,Kassulke,23/12/1972,Georgia,male,169,159
Quinten,Legros,29/11/1978,Iowa,male,157,80
Juliana,Dickinson,03/02/1989,Oklahoma,female,168,108
Vella,Schimmel,29/07/1982,Georgia,female,188,123
Urban,Toy,23/06/1974,Georgia,female,197,129
Simeon,Mayert,03/08/1993,Idaho,female,176,63
Velva,Jakubowski,14/08/1990,SouthCarolina,male,188,151
Scarlett,Monahan,24/05/1972,Utah,female,199,147
Addie,Jakubowski,30/06/1979,Wisconsin,female,186,64
Myrtle,Shanahan,18/06/1991,Massachusetts,male,197,128
Dario,Ondricka,28/04/1971,Massachusetts,male,169,58
Liliane,Johnson,28/04/1991,Missouri,female,181,74
Maud,O'Conner,21/11/1976,Florida,male,193,116
Aiyana,Pfannerstill,26/05/1964,Oklahoma,female,190,88
Mallie,Moen,25/09/1975,Washington,female,168,80
Sarai,Rodriguez,29/03/1974,Indiana,female,160,137
Shana,Stoltenberg,27/08/1967,Tennessee,female,196,109
Shaniya,Rohan,14/09/1972,Louisiana,male,199,105
Jaquan,Kovacek,21/08/1992,SouthDakota,female,183,73
Heber,Steuber,21/10/1978,Delaware,male,182,65
Kaylie,Ullrich,01/03/1993,NewYork,male,151,106
Andreanne,Zemlak,13/12/1979,NewHampshire,female,171,64
Werner,Turcotte,22/12/1991,Alabama,male,154,159
Lacey,Rath,15/10/1981,Hawaii,female,164,136
Antonia,Rutherford,25/04/1979,Arkansas,female,156,64
